# Directed graph: subgraph.txt 
# Save as tab-separated list of edges
# Nodes: 350 Edges: 506
# FromNodeId,ToNodeId
8285,9550
29,2369
3162,5259
3162,8827
6150,6986
8147,9216
4300,4870
4300,8810
3518,5259
3518,6986
5452,6175
1842,2369
1842,2646
1842,2928
1842,6175
1842,6986
352,2369
352,4407
352,5259
3266,3386
3266,3764
3266,5259
3266,6091
3266,6175
3266,6727
3266,6986
3266,7663
1464,1619
1464,1636
1464,1670
1464,1683
1464,1776
1464,1801
1464,1814
1464,2369
1464,5628
1464,8154
2604,5259
5396,6986
6970,6986
6970,7547
6970,7663
6970,9216
670,2369
670,5259
4870,5259
4870,5323
4870,5643
4870,6175
4870,9132
4232,5803
4232,9216
4667,5091
962,1464
5262,5479
5262,9216
8512,9931
76,3764
76,5259
3820,4077
3820,5259
3820,6813
3820,7358
3820,7663
3820,8905
3820,9216
3820,9755
3820,9777
3820,9980
3820,10016
5693,8513
2175,3770
2175,3801
7358,8285
7358,9050
7632,7641
1728,2369
1728,2792
1728,2928
1728,6986
2944,3820
4257,4300
4257,4407
8513,8810
8513,9216
50,128
50,249
50,5259
3139,3632
3139,5259
3139,8513
3964,4407
3964,9216
2618,9216
6559,7691
4154,4300
4154,4407
4154,5259
4154,6175
4154,6813
4154,6986
4154,7663
4154,8285
9755,9860
8827,8905
8827,9050
8827,9550
8827,9777
4848,5259
4848,6175
3359,3632
9530,9861
1491,7561
3914,4407
3632,3820
3632,4407
3632,4627
3632,4667
3632,5259
3632,5396
3632,6559
3632,6992
3632,8513
1442,4704
6305,6628
1510,1887
1510,2369
1510,2604
1510,2928
1510,3386
1510,5259
1407,2928
1407,3386
1407,3632
1407,5259
1407,8513
7691,8446
7691,8513
7691,8810
7691,9050
6809,8513
8670,9050
6813,7547
6813,8810
5643,6813
5643,7358
7663,7965
7663,8051
7663,8154
7663,8810
7663,9050
7663,9216
7663,9270
7663,9777
7663,10108
3770,4154
3770,4233
3770,4257
3770,4848
3770,5259
4902,5259
33,1887
33,2369
33,5259
968,5259
968,6986
5091,5259
6175,6305
6175,6809
6175,6986
6175,7383
6175,7413
6175,7641
6175,7691
6175,7979
6175,8965
6175,9074
6175,9216
4407,4755
4407,4813
4407,5259
4407,5363
4407,5507
4407,6582
4407,9216
6986,7561
6986,8154
6986,9216
7965,9050
2621,2928
2621,3386
2621,4407
2621,4870
2621,5259
2621,6813
515,1887
3386,3632
3386,3770
3386,4257
3386,4407
3386,5721
3386,7003
3386,8810
3386,9216
3764,3820
3764,4154
3764,4870
3764,5259
3764,5323
3764,5345
3764,6175
3764,7021
3764,7369
3764,8810
3764,9216
249,1397
249,1887
249,3770
249,5259
2239,4082
5891,6986
2879,6175
229,1464
229,1636
229,1801
229,1887
229,2646
229,2928
229,3442
229,3632
229,4407
229,4912
229,5259
229,6175
229,6986
845,6175
845,7691
8905,10016
877,5259
877,6091
8051,9216
143,2369
143,4870
143,5091
143,5259
143,5628
2369,2613
2369,2765
2369,2792
2369,2856
2369,2879
2369,2928
2369,3222
2369,3235
2369,3266
2369,3518
2369,3764
2369,3835
2369,4154
2369,4233
2369,4407
2369,4778
2369,4796
2369,4848
2369,5091
2369,5259
2369,5479
2369,5794
2369,5891
2369,6175
2369,6252
2369,6559
2369,6727
2369,6813
2369,6864
2369,6970
2369,7358
2369,7663
2369,8285
2369,8419
2369,9011
